F1,F2,F3,F4,F5
1.2,360,3.1,0,23
5.1,360,1.6,0,51
5.1,360,1.6,0,28
-15,360,1.1,0,22
-1.9,360,2.6,0,30
0.8,360,1.7,0,36
0.8,360,1.7,0,24
18.9,360,0.5,0,32
18.9,360,0.5,0,35
17.3,360,1.5,0,34
14,360,1.5,0,6
14.5,360,1.1,0,10
-3.6,360,2.3,0,18
-1.3,360,4,0,14
-1.3,360,4,0,30
-0.5,360,1.2,0,38
27.7,360,1,0,78
0.7,360,4,0,30
0.7,360,4,0,24
14.7,360,0.7,0,50
22.7,360,1.5,0,37
14.7,360,0.7,0,70
5.8,360,2.4,0,54
22.7,360,1.5,0,39
4.8,360,1.5,0,44
18.5,360,1.1,0,32
18.5,360,1.1,0,37
-0.5,360,1.2,0,119
15.8,360,1.8,0,368
15.8,360,1.8,0,164
3.9,360,1.2,0,60
3.9,360,1.2,0,50
-3.6,360,2.3,0,14
19.3,360,0.9,0,20
5.8,360,2.4,0,46
4.8,360,1.5,0,60
-1.5,360,2,0,20
-1.5,360,2,0,20
-0.1,360,1.3,0,16
-3.7,360,6,0,28
20.7,360,3,0,34
-0.1,360,1.3,0,16
-3.7,360,1.3,0,30
-3.7,360,6,0,50
-8.5,360,1.8,0,38
-3.7,360,1.3,0,32
20.7,360,3,0,38
16.8,360,2.3,2,8
-8.5,360,1.8,0,32
16.8,360,2.3,2,59
20.5,360,2,0,35
20.5,360,2,0,45
-1.8,360,0.8,0,51
0.2,360,0.8,0,81
9.5,360,2.9,0,30
19.2,360,2,0,42
9.2,360,0.6,0,61
13.2,360,1,0,34
0.2,360,0.8,0,66
9.5,360,2.9,0,30
7.1,360,1,0,82
13.2,360,1,0,56
9.2,360,0.6,0,64
3.9,360,2.3,0,64
3.9,360,2.3,0,60
7.1,360,1,0,52
2.1,360,1,0,44
21.8,360,1.3,0,28
1.1,360,1.1,0,20
21.8,360,1.3,0,32
1.1,360,1.1,0,26
1.2,360,3.2,0,37
1.2,360,3.2,0,41
-3.1,360,0.6,0,38
13.6,360,1,0,8
6.6,360,3.1,0,256
7.6,360,0.7,0,42
13.6,360,1,0,10
7.6,360,0.7,0,84
-2.6,360,0.5,0,16
-3.1,360,0.6,0,68
20.8,360,2.4,0,97
20.8,360,2.4,0,104
15.5,360,2.3,0,114
15.5,360,2.3,0,308
21.9,360,2,0,35
-1.5,360,3.2,0,42
21.9,360,2,0,45
26.7,360,0.9,0,80
23.2,360,0.5,0,23
0.9,360,1,0,18
-1.4,360,2,0,24
23.2,360,0.5,0,19
-1.4,360,2,0,10
-0.3,360,2.5,0,16
-0.3,360,2.5,0,14
19.4,360,2.6,0,58
19.4,360,2.6,0,53
-2.1,360,1.2,0,58
-2.1,360,1.2,0,54
20.5,360,1,0,94
-7.5,360,0.9,0,42
-7.5,360,0.9,0,48
20.5,360,1,0,80
24.4,360,3.5,0,6
13.1,360,1.2,0,44
15.4,360,1.4,0,90
12.4,360,0.9,0,18
12.4,360,0.9,0,64
0.8,360,1,0,34
4.9,360,1.9,0,70
4.9,360,1.9,0,80
10.2,360,1.1,0,60
10.2,360,1.1,0,54
22.4,360,0.5,0,10
15.4,360,1.4,0,90
0.8,360,1,0,22
13.1,360,1.2,0,30
26.9,360,0.9,0,40
26.9,360,0.9,0,74
4.8,360,3.7,0,38
4.8,360,3.7,0,58
22.4,360,0.5,0,12
2.9,360,0.9,0,20
-7.1,360,0.7,0,34
-9.3,360,4.5,0,38
-2.1,360,0.8,0,56
2.9,360,0.9,0,42
-2.1,360,0.8,0,58
-9.3,360,4.5,0,26
18.8,360,1.2,0,37
18.8,360,1.2,0,46
21.8,360,1.1,0,27
21.8,360,1.1,0,15
-2.3,360,2.4,0,46
-7.1,360,0.7,0,30
-3.7,360,2.9,0,37
-17.5,360,1.3,0,36
-3.7,360,2.9,0,33
-2,360,2.8,0,22
-2,360,6.9,0,26
-2,360,2.8,0,24
15.1,360,1.2,0,24
-2,360,6.9,0,6
15.1,360,1.2,0,17
1.7,360,4.6,0,62
-17.5,360,1.3,0,20
24.3,360,1.6,0,12
24.3,360,1.6,0,12
-0.2,360,1.2,0,32
27.4,360,2.9,0,70
27.4,360,2.9,0,15
1.7,360,4.6,0,27
10.5,360,0.7,0,22
10.5,360,0.7,0,34
0.2,360,0.8,0,37
12.8,360,0.8,0,64
12.8,360,0.8,0,34
22.1,360,1.2,0,40
-4.4,360,1.4,0,26
-4.7,360,1,0,32
-4.7,360,1,0,28
-2.7,360,1.1,0,22
4.8,360,1.1,0,51
0.2,360,0.8,0,43
4.8,360,1.1,0,50
22.1,360,1.2,0,42
16.5,360,2.4,0,40
8.9,360,2.2,0,26
5.9,360,0.8,0,26
5.9,360,0.8,0,32
8.4,360,0.5,0,30
18.9,360,1.2,0,26
13.6,360,0.7,0,31
16.5,360,2.4,0,38
-0.8,360,1.8,0,42
18.9,360,1.2,0,58
8.4,360,0.5,0,34
29.4,360,1,0,20
13.6,360,0.7,0,129
