date,PM25,temp,ws,hum,press,distance,SO2,CO,O3,NO2,PM10
2019-05-06 PM 8:00:00,14,13.9,3.8,43,6.8,1833,0.003,0.4,0.043,0.015,65
2019-05-06 PM 9:00:00,13,14.1,4.2,35,5.6,2000,0.003,0.4,0.043,0.012,47
2019-05-06 PM 10:00:00,9,13.8,3.8,35,5.5,2000,0.003,0.3,0.044,0.011,39
2019-05-06 PM 11:00:00,9,12.9,4,42,6.2,2000,0.002,0.4,0.043,0.011,35
2019-05-07 AM 1:00:00,7,11.3,2,50,6.7,2000,0.003,0.4,0.033,0.017,33
2019-05-07 AM 2:00:00,11,11.2,2,49,6.5,2000,0.003,0.4,0.032,0.018,36
2019-05-07 AM 3:00:00,9,10.7,2.1,46,5.9,2000,0.002,0.4,0.027,0.02,34
2019-05-07 AM 4:00:00,13,10.8,1.5,45,5.8,1459,0.003,0.4,0.028,0.018,34
2019-05-07 AM 5:00:00,14,9.9,1.7,60,7.3,2000,0.003,0.4,0.019,0.026,41
2019-05-07 AM 6:00:00,20,9.9,2,67,8.1,2000,0.003,0.4,0.007,0.037,51
2019-05-07 AM 7:00:00,18,11.3,1.9,71,9.5,1987,0.003,0.6,0.012,0.035,55
2019-05-07 AM 8:00:00,14,12.3,2.2,80,11.4,760,0.004,0.5,0.013,0.039,51
2019-05-07 AM 9:00:00,13,13.8,2.7,70,11,912,0.008,0.5,0.028,0.029,67
2019-05-07 AM 10:00:00,17,14.9,3.5,53,8.9,1280,0.011,0.7,0.034,0.027,63
2019-05-07 AM 11:00:00,19,15.3,3.5,65,11.2,1133,0.017,0.8,0.045,0.019,66
2019-05-07 PM 12:00:00,22,16.5,3.5,48,9,1458,0.006,0.9,0.047,0.016,68
2019-05-07 PM 1:00:00,18,17.2,3.5,37,7.2,2000,0.01,0.8,0.05,0.016,56
2019-05-07 PM 2:00:00,16,16.8,4.8,47,9,1950,0.004,0.6,0.057,0.014,54
2019-05-07 PM 3:00:00,13,17.1,4.1,44,8.5,1962,0.004,0.5,0.064,0.013,49
2019-05-07 PM 4:00:00,13,16.7,4,43,8.1,2000,0.004,0.5,0.065,0.012,50
2019-05-07 PM 5:00:00,15,15.7,3.8,46,8.1,2000,0.004,0.4,0.067,0.013,56
2019-05-07 PM 6:00:00,17,15,4.3,44,7.5,2000,0.004,0.4,0.064,0.015,57
2019-05-07 PM 7:00:00,19,13.3,4.2,60,9.1,2000,0.004,0.5,0.058,0.02,51
2019-05-07 PM 8:00:00,19,12.5,3.1,67,9.7,1975,0.011,0.5,0.044,0.029,50
2019-05-07 PM 9:00:00,18,12.4,3.5,65,9.3,2000,0.01,0.4,0.042,0.029,42
2019-05-07 PM 10:00:00,17,12.2,2.9,67,9.5,2000,0.005,0.4,0.046,0.023,41
2019-05-07 PM 11:00:00,13,11.9,3.5,71,9.8,2000,0.004,0.4,0.047,0.019,38
2019-05-08 AM 1:00:00,22,11.5,3.3,72,9.7,1819,0.006,0.4,0.035,0.027,46
2019-05-08 AM 2:00:00,22,11.3,2.3,67,8.9,2000,0.006,0.5,0.038,0.026,51
2019-05-08 AM 3:00:00,20,11.2,3.5,71,9.4,2000,0.005,0.5,0.039,0.022,48
2019-05-08 AM 4:00:00,18,10.9,3,70,9.1,1987,0.004,0.5,0.035,0.024,45
2019-05-08 AM 5:00:00,20,10.9,3.7,68,8.8,2000,0.005,0.4,0.027,0.027,43
2019-05-08 AM 6:00:00,19,10.9,3,65,8.4,1975,0.005,0.4,0.024,0.031,41
2019-05-08 AM 7:00:00,18,12,3.1,60,8.4,1975,0.008,0.5,0.015,0.044,41
2019-05-08 AM 8:00:00,19,13.7,3.7,53,8.2,2000,0.008,0.5,0.024,0.041,48
2019-05-08 AM 9:00:00,15,14.8,4.2,53,8.8,2000,0.007,0.4,0.047,0.022,48
2019-05-08 AM 10:00:00,15,15.9,3.9,51,9.2,2000,0.005,0.4,0.055,0.016,51
2019-05-08 AM 11:00:00,14,15.9,4.2,56,10.1,2000,0.005,0.4,0.056,0.017,47
2019-05-08 PM 12:00:00,15,17,4.4,54,10.4,1987,0.004,0.5,0.061,0.016,54
2019-05-08 PM 1:00:00,15,15.9,5.4,58,10.4,1841,0.005,0.5,0.069,0.01,55
2019-05-08 PM 2:00:00,19,15.7,5.2,59,10.4,1866,0.004,0.5,0.07,0.011,53
2019-05-08 PM 3:00:00,20,16.1,4.4,60,10.9,1843,0.004,0.5,0.072,0.013,56
2019-05-08 PM 4:00:00,21,15.7,4,60,10.6,1802,0.005,0.6,0.069,0.018,57
2019-05-08 PM 5:00:00,21,15.5,2.9,64,11.2,1698,0.004,0.5,0.066,0.019,62
2019-05-08 PM 6:00:00,23,14.7,3.4,69,11.5,1606,0.004,0.5,0.07,0.014,62
2019-05-08 PM 7:00:00,24,13.5,2.9,74,11.4,1347,0.004,0.6,0.066,0.018,65
2019-05-08 PM 8:00:00,25,13,2.4,80,11.9,1215,0.003,0.5,0.065,0.013,62
2019-05-08 PM 9:00:00,26,12.8,2.3,81,11.9,1111,0.004,0.5,0.049,0.027,63
2019-05-08 PM 10:00:00,28,12.5,2.9,83,11.9,1050,0.005,0.5,0.036,0.034,67
2019-05-08 PM 11:00:00,24,12.4,2.5,86,12.4,937,0.004,0.5,0.047,0.021,63
2019-05-09 AM 1:00:00,29,12.5,2.1,83,11.9,804,0.005,0.6,0.039,0.025,65
2019-05-09 AM 2:00:00,30,12.2,2.5,87,12.3,733,0.005,0.5,0.037,0.023,70
2019-05-09 AM 3:00:00,28,12.1,2.9,84,11.8,777,0.004,0.5,0.04,0.016,63
2019-05-09 AM 4:00:00,30,12,2.2,79,11,993,0.005,0.6,0.033,0.02,65
2019-05-09 AM 5:00:00,39,11.8,2.9,75,10.4,1389,0.005,0.6,0.026,0.027,71
2019-05-09 AM 6:00:00,32,11.8,2.9,75,10.4,1191,0.006,0.5,0.023,0.033,68
2019-05-09 AM 7:00:00,30,12.3,2.8,73,10.4,1580,0.007,0.5,0.009,0.052,68
2019-05-09 AM 8:00:00,26,13.2,2,67,10.1,1975,0.008,0.5,0.015,0.047,72
2019-05-09 AM 9:00:00,15,14.2,3.1,57,9.2,2000,0.007,0.4,0.038,0.028,48
2019-05-09 AM 10:00:00,15,15.9,2.8,51,9.2,2000,0.006,0.4,0.045,0.022,44
2019-05-09 AM 11:00:00,13,16.9,2.8,45,8.6,2000,0.005,0.4,0.054,0.017,39
2019-05-09 PM 12:00:00,16,17,3.4,45,8.7,2000,0.004,0.4,0.059,0.013,42
2019-05-09 PM 1:00:00,13,17.2,3.8,41,8,2000,0.004,0.3,0.063,0.01,38
2019-05-09 PM 2:00:00,13,17.5,4.4,44,8.7,2000,0.004,0.3,0.063,0.012,38
2019-05-09 PM 3:00:00,12,17.6,4.4,43,8.6,1942,0.004,0.3,0.067,0.01,35
2019-05-09 PM 4:00:00,11,17.6,4.1,43,8.6,2000,0.003,0.3,0.067,0.01,34
2019-05-09 PM 5:00:00,13,17,4.2,44,8.5,2000,0.004,0.4,0.067,0.013,36
2019-05-09 PM 6:00:00,13,15.9,2.9,56,10.1,2000,0.004,0.4,0.063,0.016,36
2019-05-09 PM 7:00:00,17,14.7,2.4,64,10.6,2000,0.003,0.4,0.061,0.013,44
2019-05-09 PM 8:00:00,16,13.2,2.6,72,10.9,2000,0.003,0.3,0.058,0.011,37
2019-05-09 PM 9:00:00,14,12.7,1.6,73,10.6,2000,0.003,0.3,0.051,0.014,37
2019-05-09 PM 10:00:00,13,12.1,1.1,77,10.8,1745,0.003,0.4,0.046,0.017,36
2019-05-09 PM 11:00:00,14,12.1,2.2,80,11.2,1678,0.003,0.4,0.043,0.017,33
2019-05-10 AM 1:00:00,14,11.5,0.8,81,10.9,1555,0.003,0.3,0.035,0.02,35
2019-05-10 AM 2:00:00,17,11.1,1.6,85,11.2,695,0.004,0.4,0.034,0.018,38
2019-05-10 AM 3:00:00,20,11.1,2.3,93,12.3,492,0.003,0.4,0.019,0.029,44
2019-05-10 AM 4:00:00,22,11,2,93,12.2,519,0.003,0.4,0.016,0.028,47
2019-05-10 AM 5:00:00,28,10.6,0.8,95,12.1,574,0.004,0.4,0.012,0.031,53
2019-05-10 AM 6:00:00,33,10.5,0.3,91,11.5,664,0.005,0.5,0.009,0.032,56
2019-05-10 AM 7:00:00,34,11.9,0.9,88,12.2,339,0.004,0.5,0.007,0.032,56
2019-05-10 AM 8:00:00,35,13.6,0.7,73,11.3,453,0.007,0.5,0.009,0.032,59
2019-05-10 AM 9:00:00,36,14.8,1.9,73,12.2,455,0.007,0.5,0.018,0.031,61
2019-05-10 AM 10:00:00,33,16.7,2.7,63,11.9,509,0.006,0.4,0.027,0.028,64
2019-05-10 AM 11:00:00,33,18.2,1.8,59,12.3,490,0.006,0.5,0.043,0.027,69
2019-05-10 PM 12:00:00,36,19.1,3.1,57,12.5,601,0.006,0.5,0.07,0.019,74
2019-05-10 PM 1:00:00,39,19.7,3.5,59,13.5,1003,0.006,0.5,0.073,0.024,88
2019-05-10 PM 2:00:00,46,20.7,3.5,52,12.6,1221,0.007,0.5,0.071,0.022,91
2019-05-10 PM 3:00:00,35,19.8,4.6,40,9.2,1597,0.007,0.5,0.071,0.022,83
2019-05-10 PM 4:00:00,28,19.9,3.4,48,11.1,1687,0.005,0.5,0.07,0.017,71
2019-05-10 PM 5:00:00,21,19.3,2.4,48,10.7,1752,0.004,0.4,0.066,0.018,61
2019-05-10 PM 6:00:00,18,17.9,1.9,39,8,1938,0.004,0.4,0.066,0.016,59
2019-05-10 PM 7:00:00,20,16.2,1.7,57,10.4,1975,0.003,0.4,0.062,0.016,56
2019-05-10 PM 8:00:00,21,15,1.6,61,10.4,2000,0.003,0.4,0.049,0.018,52
2019-05-10 PM 9:00:00,20,14.6,2.1,50,8.2,2000,0.003,0.4,0.041,0.017,46
2019-05-10 PM 10:00:00,19,15.1,1.7,45,7.7,1490,0.003,0.4,0.034,0.025,43
2019-05-10 PM 11:00:00,22,13.8,1.5,76,11.9,1422,0.003,0.4,0.032,0.026,43
2019-05-11 AM 1:00:00,18,13.6,1.3,88,13.7,924,0.003,0.4,0.039,0.014,42
2019-05-11 AM 2:00:00,19,13.3,1.8,86,13.1,937,0.003,0.4,0.035,0.02,38
2019-05-11 AM 3:00:00,20,13.1,1.7,86,12.9,766,0.003,0.4,0.026,0.024,41
2019-05-11 AM 4:00:00,24,12.7,1.4,96,14,522,0.004,0.4,0.022,0.024,40
2019-05-11 AM 5:00:00,32,12.1,1.6,94,13.2,689,0.004,0.4,0.017,0.025,50
2019-05-11 AM 6:00:00,26,12.1,1.4,93,13,635,0.004,0.4,0.012,0.03,48
2019-05-11 AM 7:00:00,27,12.9,1.5,88,13,871,0.004,0.4,0.017,0.025,44
2019-05-11 AM 8:00:00,23,14,2,77,12.3,1510,0.005,0.4,0.015,0.029,47
2019-05-11 AM 9:00:00,24,15.9,0.7,60,10.8,1766,0.007,0.4,0.025,0.025,51
2019-05-11 AM 10:00:00,26,17.8,1.8,54,10.9,1089,0.009,0.5,0.035,0.025,56
2019-05-11 AM 11:00:00,28,19.6,2.5,53,12,1126,0.007,0.5,0.043,0.023,62
2019-05-11 PM 12:00:00,33,20.5,2.1,51,12.3,1528,0.007,0.5,0.046,0.028,73
2019-05-11 PM 1:00:00,31,19.8,3.5,50,11.5,1801,0.007,0.5,0.061,0.022,79
2019-05-11 PM 2:00:00,29,19.5,4.2,52,11.7,1751,0.005,0.5,0.06,0.014,76
2019-05-11 PM 3:00:00,26,21.1,2.5,50,12.4,1650,0.005,0.5,0.06,0.013,73
2019-05-11 PM 4:00:00,25,22.1,1.9,36,9.5,1601,0.005,0.5,0.066,0.013,81
2019-05-11 PM 5:00:00,26,21.8,2.9,39,10.2,2000,0.004,0.5,0.07,0.012,79
2019-05-11 PM 6:00:00,20,19.9,3.9,42,9.7,2000,0.004,0.4,0.063,0.01,57
2019-05-11 PM 7:00:00,14,18.3,2.8,47,9.8,2000,0.004,0.4,0.054,0.01,33
2019-05-11 PM 8:00:00,14,16.9,1.2,36,6.9,2000,0.003,0.3,0.05,0.01,27
2019-05-11 PM 9:00:00,15,15.7,2,47,8.4,2000,0.003,0.3,0.047,0.01,29
2019-05-11 PM 10:00:00,16,15.3,3.1,46,8,2000,0.003,0.3,0.045,0.013,32
2019-05-11 PM 11:00:00,18,14.7,1.4,49,8.1,2000,0.003,0.4,0.029,0.029,34
2019-05-12 AM 1:00:00,15,13.8,1.1,70,11,2000,0.003,0.4,0.032,0.022,31
2019-05-12 AM 2:00:00,14,13.5,2.5,80,12.4,1962,0.003,0.5,0.02,0.029,30
2019-05-12 AM 3:00:00,18,13.1,1.4,73,10.9,1716,0.003,0.4,0.027,0.021,38
2019-05-12 AM 4:00:00,22,13,1.8,75,11.2,1709,0.003,0.3,0.034,0.016,47
2019-05-12 AM 5:00:00,17,13,1.6,75,11.2,1201,0.003,0.4,0.026,0.022,32
2019-05-12 AM 6:00:00,20,12.9,1.5,73,10.8,1263,0.003,0.4,0.03,0.017,33
2019-05-12 AM 7:00:00,17,13.6,0.1,68,10.5,1113,0.003,0.4,0.027,0.019,29
2019-05-12 AM 8:00:00,20,16.6,1,52,9.7,1168,0.003,0.4,0.023,0.018,34
2019-05-12 AM 9:00:00,22,19.1,1.1,56,12.4,1252,0.004,0.5,0.021,0.026,43
2019-05-12 AM 10:00:00,24,19.8,1.6,53,12.2,695,0.003,0.6,0.031,0.03,49
2019-05-12 AM 11:00:00,27,18.3,4.2,49,10.2,1092,0.004,0.6,0.041,0.032,53
2019-05-12 PM 12:00:00,34,19.8,2,45,10.4,1201,0.005,0.6,0.04,0.038,63
2019-05-12 PM 1:00:00,43,22.1,1.9,40,10.6,846,0.007,0.6,0.047,0.034,75
2019-05-12 PM 2:00:00,37,23.2,3.2,38,10.7,651,0.008,0.6,0.057,0.031,68
2019-05-12 PM 3:00:00,42,23.2,2.7,34,9.6,739,0.008,0.6,0.075,0.027,76
2019-05-12 PM 4:00:00,36,23.2,2.2,36,10.2,1010,0.006,0.5,0.087,0.019,66
2019-05-12 PM 5:00:00,39,23.6,2.3,34,9.9,1433,0.008,0.7,0.093,0.019,68
2019-05-12 PM 6:00:00,42,23.5,1.7,28,8.1,1651,0.013,1,0.097,0.022,73
2019-05-12 PM 7:00:00,32,22.1,1.2,28,7.4,2000,0.005,0.5,0.083,0.012,64
2019-05-12 PM 8:00:00,14,20.3,0.3,34,8.1,2000,0.004,0.4,0.065,0.013,38
2019-05-12 PM 9:00:00,12,18.8,0.1,30,6.5,2000,0.004,0.3,0.054,0.015,28
2019-05-12 PM 10:00:00,10,17.8,1.3,41,8.3,2000,0.004,0.3,0.048,0.018,26
2019-05-12 PM 11:00:00,12,17,1.9,43,8.3,2000,0.004,0.4,0.033,0.03,34
2019-05-13 AM 1:00:00,12,16.8,2.2,38,7.2,1786,0.004,0.5,0.016,0.046,30
2019-05-13 AM 2:00:00,13,16.4,1.2,36,6.7,2000,0.005,0.5,0.016,0.039,33
2019-05-13 AM 3:00:00,17,15.9,2,50,9,2000,0.006,0.4,0.015,0.036,36
2019-05-13 AM 4:00:00,15,15.6,1.1,47,8.3,2000,0.005,0.4,0.027,0.022,30
2019-05-13 AM 5:00:00,15,15.5,1.7,46,8.1,2000,0.005,0.4,0.023,0.024,30
2019-05-13 AM 6:00:00,18,15.3,1,41,7.1,1623,0.005,0.4,0.016,0.03,31
2019-05-13 AM 7:00:00,21,16.4,0.6,50,9.3,1317,0.006,0.5,0.008,0.042,36
2019-05-13 AM 8:00:00,24,18.2,1.8,36,7.5,1090,0.008,0.5,0.013,0.039,46
2019-05-13 AM 9:00:00,26,19.5,1.1,33,7.4,1324,0.007,0.6,0.008,0.055,64
2019-05-13 AM 10:00:00,33,20.1,1.8,36,8.4,1163,0.007,0.6,0.01,0.064,83
2019-05-13 AM 11:00:00,33,20.7,3,34,8.2,1225,0.007,0.6,0.034,0.059,79
2019-05-13 PM 12:00:00,32,20.4,2.3,47,11.2,746,0.007,0.7,0.03,0.068,77
2019-05-13 PM 1:00:00,45,19.6,4,39,8.8,1059,0.009,0.6,0.041,0.053,106
2019-05-13 PM 2:00:00,34,19.2,2.7,47,10.4,1938,0.007,0.5,0.071,0.022,71
2019-05-13 PM 3:00:00,26,18.3,3.5,51,10.6,1757,0.005,0.5,0.062,0.025,58
2019-05-13 PM 4:00:00,24,18.4,2.3,66,13.9,1329,0.005,0.4,0.06,0.022,54
2019-05-13 PM 5:00:00,25,17.4,2.6,70,13.8,1100,0.004,0.5,0.042,0.035,62
2019-05-13 PM 6:00:00,28,16.3,4.2,64,11.8,1365,0.004,0.5,0.052,0.022,60
2019-05-13 PM 7:00:00,24,15.4,3.3,81,14.1,985,0.003,0.4,0.059,0.014,52
2019-05-13 PM 8:00:00,22,15.1,1.6,76,12.9,1168,0.003,0.4,0.059,0.01,43
2019-05-13 PM 9:00:00,20,15.1,1.8,70,11.9,1042,0.003,0.4,0.059,0.01,39
2019-05-13 PM 10:00:00,19,14.9,1.4,70,11.8,1589,0.003,0.4,0.056,0.012,37
2019-05-13 PM 11:00:00,22,14.8,0.1,64,10.7,1937,0.003,0.4,0.052,0.014,36
2019-05-14 AM 1:00:00,21,14.5,0.6,64,10.5,1300,0.003,0.4,0.041,0.017,37
2019-05-14 AM 2:00:00,21,14.1,1.1,71,11.4,823,0.003,0.4,0.03,0.021,37
2019-05-14 AM 3:00:00,24,13.8,1.7,78,12.3,504,0.002,0.4,0.022,0.023,39
2019-05-14 AM 4:00:00,24,13.7,1.1,80,12.5,620,0.003,0.5,0.013,0.03,39
2019-05-14 AM 5:00:00,26,13.5,1.2,83,12.8,785,0.002,0.5,0.019,0.024,42
2019-05-14 AM 6:00:00,29,13.3,0.5,82,12.4,771,0.003,0.5,0.012,0.029,49
2019-05-14 AM 7:00:00,24,14.4,1.2,73,11.9,489,0.003,0.5,0.019,0.023,39
2019-05-14 AM 8:00:00,27,16,1.4,63,11.4,502,0.003,0.5,0.02,0.025,44
2019-05-14 AM 9:00:00,27,18.1,1.4,55,11.4,700,0.003,0.5,0.025,0.026,46
2019-05-14 AM 10:00:00,25,18.9,3.3,51,11.1,1175,0.004,0.5,0.027,0.036,51
2019-05-14 AM 11:00:00,31,19.8,3.5,45,10.4,1838,0.005,0.5,0.036,0.041,57
2019-05-14 PM 12:00:00,35,21.1,3.1,47,11.7,1536,0.005,0.4,0.054,0.025,60
2019-05-14 PM 1:00:00,24,22.3,2.6,45,12,1480,0.005,0.4,0.069,0.014,41
2019-05-14 PM 2:00:00,23,22.5,2.8,44,11.9,1581,0.005,0.4,0.073,0.012,41
2019-05-14 PM 3:00:00,24,23.2,2.7,31,8.8,2000,0.007,0.5,0.073,0.012,43
2019-05-14 PM 4:00:00,35,23.5,3.1,34,9.8,2000,0.009,0.6,0.079,0.014,57
2019-05-14 PM 5:00:00,37,23,2.3,52,14.6,1520,0.009,0.6,0.073,0.016,58
2019-05-14 PM 6:00:00,36,21.8,2.9,47,12.2,1836,0.009,0.4,0.056,0.013,49
2019-05-14 PM 7:00:00,34,20.1,2.4,62,14.5,2000,0.005,0.4,0.057,0.018,48
2019-05-14 PM 8:00:00,30,18.2,2.2,68,14.1,968,0.003,0.4,0.04,0.021,54
2019-05-14 PM 9:00:00,33,17.8,1.1,69,14,833,0.003,0.4,0.024,0.024,65
2019-05-14 PM 10:00:00,33,17,1.4,73,14.1,968,0.003,0.4,0.016,0.028,64
2019-05-14 PM 11:00:00,33,16.2,3.1,81,14.9,709,0.003,0.4,0.013,0.034,58
2019-05-15 AM 1:00:00,29,15.1,1.4,84,14.4,557,0.003,0.4,0.03,0.011,49
2019-05-15 AM 2:00:00,27,14.7,0.4,82,13.7,559,0.002,0.4,0.031,0.009,46
2019-05-15 AM 3:00:00,27,14.5,1.2,88,14.5,523,0.002,0.4,0.031,0.01,45
2019-05-15 AM 4:00:00,27,15,1.4,84,14.3,540,0.003,0.4,0.028,0.013,46
2019-05-15 AM 5:00:00,27,14.8,1.4,88,14.8,423,0.002,0.4,0.023,0.017,47
2019-05-15 AM 6:00:00,28,14.9,1.6,82,13.8,444,0.003,0.4,0.031,0.016,46
2019-05-15 AM 7:00:00,29,15.6,1.1,78,13.7,421,0.003,0.5,0.012,0.029,50
2019-05-15 AM 8:00:00,31,17.4,0.9,64,12.7,472,0.003,0.5,0.008,0.034,60
2019-05-15 AM 9:00:00,35,18.1,1.2,68,14,323,0.004,0.5,0.01,0.037,65
2019-05-15 AM 10:00:00,43,18.9,1.6,62,13.5,452,0.005,0.6,0.015,0.046,70
2019-05-15 AM 11:00:00,42,20.7,1.9,52,12.6,543,0.007,0.6,0.019,0.05,79
2019-05-15 PM 12:00:00,47,21.8,3.7,43,11.2,1102,0.008,0.6,0.034,0.049,88
2019-05-15 PM 1:00:00,46,22.9,2.9,41,11.4,1192,0.008,0.6,0.054,0.038,86
2019-05-15 PM 2:00:00,45,23.3,2.6,51,14.5,630,0.008,0.7,0.071,0.024,77
2019-05-15 PM 3:00:00,41,23.7,2.8,48,14,860,0.008,0.6,0.088,0.021,77
2019-05-15 PM 4:00:00,42,23.8,2.4,47,13.8,1017,0.006,0.6,0.089,0.022,77
2019-05-15 PM 5:00:00,37,22.6,3.8,55,15,821,0.005,0.5,0.073,0.018,69
2019-05-15 PM 6:00:00,35,20.9,3.9,61,15,774,0.003,0.5,0.061,0.016,71
2019-05-15 PM 7:00:00,36,19.7,3.1,67,15.3,1890,0.003,0.5,0.056,0.014,69
2019-05-15 PM 8:00:00,32,18.2,2.2,78,16.2,550,0.003,0.5,0.049,0.015,62
2019-05-15 PM 9:00:00,36,17.7,0.8,78,15.8,394,0.003,0.5,0.037,0.019,71
2019-05-15 PM 10:00:00,38,17.5,1.5,74,14.8,467,0.003,0.5,0.033,0.02,72
2019-05-15 PM 11:00:00,41,17,0.6,79,15.3,453,0.003,0.5,0.028,0.022,71
2019-05-16 AM 1:00:00,48,16.7,1.3,90,17,254,0.003,0.6,0.019,0.026,83
2019-05-16 AM 2:00:00,49,15.5,1.3,96,16.8,261,0.003,0.6,0.01,0.031,87
2019-05-16 AM 3:00:00,56,15.2,1.7,95,16.3,263,0.003,0.6,0.009,0.033,94
2019-05-16 AM 4:00:00,46,15.3,1.7,93,16.1,267,0.003,0.5,0.01,0.03,87
2019-05-16 AM 5:00:00,43,15.7,1.6,89,15.8,245,0.003,0.6,0.011,0.023,77
2019-05-16 AM 6:00:00,49,15.7,1.6,91,16.2,204,0.003,0.6,0.006,0.028,81
2019-05-16 AM 7:00:00,52,17.2,1.5,82,16,233,0.004,0.6,0.008,0.025,91
2019-05-16 AM 8:00:00,51,19.8,1.8,60,13.8,331,0.004,0.6,0.011,0.026,88
2019-05-16 AM 9:00:00,60,21.7,1.9,58,15,339,0.004,0.7,0.016,0.041,99
2019-05-16 AM 10:00:00,64,22.5,2.6,57,15.5,348,0.003,0.7,0.039,0.037,110
2019-05-16 AM 11:00:00,69,23.2,3.2,54,15.3,394,0.005,0.8,0.041,0.053,116
2019-05-16 PM 12:00:00,69,24.5,2.4,48,14.7,541,0.006,0.6,0.058,0.031,113
2019-05-16 PM 1:00:00,37,25.4,2.4,45,14.5,734,0.005,0.4,0.07,0.011,62
2019-05-16 PM 2:00:00,31,26.4,3.1,38,13,1579,0.004,0.4,0.069,0.009,52
2019-05-16 PM 3:00:00,27,26.2,3,38,12.9,1843,0.004,0.4,0.069,0.009,45
2019-05-16 PM 4:00:00,26,26.5,2.3,43,14.8,1167,0.005,0.5,0.06,0.014,48
2019-05-16 PM 5:00:00,25,25.3,3,48,15.4,970,0.004,0.4,0.056,0.012,44
2019-05-16 PM 6:00:00,21,24.9,2.7,51,16,928,0.004,0.4,0.052,0.018,39
2019-05-16 PM 7:00:00,24,23.6,2,58,16.8,2000,0.004,0.4,0.046,0.024,53
2019-05-16 PM 8:00:00,33,22.1,0.8,51,13.5,1202,0.004,0.4,0.038,0.026,67
2019-05-16 PM 9:00:00,37,20.9,3.1,54,13.3,1821,0.004,0.6,0.03,0.033,70
2019-05-16 PM 10:00:00,43,20.3,1.6,59,14,1176,0.004,0.6,0.026,0.031,78
2019-05-16 PM 11:00:00,45,20,2.1,58,13.5,1015,0.004,0.6,0.015,0.045,77
2019-05-17 AM 1:00:00,55,17.9,0.6,72,14.7,385,0.004,0.5,0.058,0.014,89
2019-05-17 AM 2:00:00,53,17.6,0.5,75,15.1,306,0.003,0.6,0.071,0.009,81
2019-05-17 AM 3:00:00,55,17.5,1.2,74,14.8,306,0.003,0.6,0.059,0.013,82
2019-05-17 AM 4:00:00,54,17.6,0.4,68,13.7,478,0.003,0.6,0.049,0.013,83
2019-05-17 AM 5:00:00,54,17.6,0.9,72,14.4,425,0.003,0.6,0.043,0.011,80
2019-05-17 AM 6:00:00,52,17.4,1.3,74,14.7,372,0.003,0.6,0.039,0.013,76
2019-05-17 AM 7:00:00,50,17.9,0.6,76,15.6,262,0.003,0.6,0.032,0.019,71
2019-05-17 AM 8:00:00,52,19.7,0.6,69,15.8,261,0.003,0.6,0.026,0.024,71
2019-05-17 AM 9:00:00,48,22.4,1.8,48,12.9,1030,0.004,0.5,0.024,0.027,71
2019-05-17 AM 10:00:00,34,24.5,1.2,42,12.9,1078,0.004,0.4,0.043,0.017,58
2019-05-17 AM 11:00:00,23,25.3,1.1,47,15.1,549,0.004,0.4,0.037,0.03,43
2019-05-17 PM 12:00:00,24,25,2.4,45,14.2,682,0.004,0.5,0.037,0.037,48
2019-05-17 PM 1:00:00,25,24.5,2.2,48,14.7,767,0.004,0.4,0.047,0.03,47
2019-05-17 PM 2:00:00,23,25.1,2.5,50,15.9,670,0.005,0.4,0.054,0.027,44
2019-05-17 PM 3:00:00,32,23.8,3.2,57,16.7,536,0.005,0.5,0.049,0.035,58
2019-05-17 PM 4:00:00,35,24.5,1.5,52,15.9,621,0.005,0.5,0.058,0.032,73
2019-05-17 PM 5:00:00,37,23.6,2.5,55,16,733,0.004,0.5,0.053,0.033,72
2019-05-17 PM 6:00:00,43,22.9,1.9,52,14.5,717,0.004,0.4,0.038,0.035,85
2019-05-17 PM 7:00:00,40,22.3,1.5,50,13.4,1694,0.006,0.5,0.036,0.038,79
2019-05-17 PM 8:00:00,40,21.6,2.2,54,13.8,2000,0.006,0.5,0.03,0.039,70
2019-05-17 PM 9:00:00,41,21.2,1.4,57,14.3,1548,0.005,0.6,0.013,0.054,77
2019-05-17 PM 10:00:00,42,21.5,2.2,57,14.6,1278,0.005,0.6,0.008,0.056,76
2019-05-17 PM 11:00:00,42,21.6,2.4,57,14.7,1138,0.005,0.6,0.014,0.044,70
2019-05-18 AM 1:00:00,25,21.4,1.7,60,15.3,964,0.004,0.4,0.028,0.013,49
2019-05-18 AM 2:00:00,28,18.7,4,75,16.1,737,0.004,0.4,0.024,0.014,51
2019-05-18 AM 3:00:00,31,17.1,3,77,15,743,0.004,0.5,0.008,0.035,52
2019-05-18 AM 4:00:00,39,16.7,1.8,78,14.8,949,0.007,0.6,0.01,0.035,66
2019-05-18 AM 5:00:00,37,16.9,1.2,79,15.2,1172,0.007,0.4,0.021,0.022,62
2019-05-18 AM 6:00:00,28,17.1,1.5,74,14.4,724,0.006,0.4,0.019,0.026,50
2019-05-18 AM 7:00:00,33,18.2,1.6,71,14.8,611,0.006,0.5,0.02,0.024,49
2019-05-18 AM 8:00:00,34,19.2,3.2,70,15.5,597,0.007,0.5,0.02,0.024,54
2019-05-18 AM 9:00:00,38,19.4,2.6,70,15.7,571,0.006,0.4,0.028,0.02,61
2019-05-18 AM 10:00:00,32,22.9,5.2,46,12.8,2000,0.006,0.4,0.031,0.02,58
2019-05-18 AM 11:00:00,19,24.3,4.2,45,13.6,2000,0.004,0.3,0.044,0.012,42
